Time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Biomass Energy Production Indicator,25.5859,26.0554,26.4825,26.859,27.1772,27.4316,27.6204,27.7448,27.809,27.819,27.7819,27.7053,27.5964,27.4625,27.3101,27.1453,26.9735,26.7998,26.6285,26.4637,26.3087,26.1678,26.067,26.0573,26.1819,26.4677,26.9285,27.5702,28.3933,29.396,30.5747,31.9252,33.4432,35.1244,36.9648,38.9606,41.1083,43.4046,45.8466,48.4312,51.1555,54.0166,57.0112,60.1362,63.3877,66.7618,70.254,73.8594,77.5727,81.3881,85.2996,89.3004,93.3846,97.5502,101.799,106.136,110.561,115.071,119.658,124.309,129.008,133.735,138.468,143.188,147.875,152.513,157.088,161.587,166.001,170.32,174.538,178.65,182.649,186.532,190.296,193.936,197.452,200.839,204.097,207.224,210.219
CO2 Radiative Forcing,2.42908,2.47315,2.51731,2.56151,2.60557,2.64897,2.69156,2.73325,2.77395,2.81359,2.85201,2.88911,2.9249,2.95935,2.99245,3.02426,3.05482,3.08423,3.11255,3.13989,3.16634,3.19199,3.21697,3.24143,3.26547,3.28917,3.31262,3.33579,3.35872,3.38136,3.4037,3.42578,3.44762,3.46925,3.49067,3.51189,3.53292,3.55377,3.57443,3.59492,3.61523,3.63536,3.65524,3.67491,3.69436,3.71361,3.73267,3.75156,3.77028,3.78885,3.80726,3.82554,3.84367,3.8616,3.87917,3.89657,3.91391,3.93127,3.94866,3.96593,3.98309,4.00016,4.01713,4.034,4.05079,4.06748,4.08408,4.10059,4.11702,4.13336,4.14961,4.16578,4.18186,4.19785,4.21375,4.22956,4.24528,4.2609,4.27643,4.29186,4.3072
Coal Production Indicator,144.716,146.917,149.14,151.103,150.664,148.389,146.103,143.982,142.136,140.621,139.449,138.602,138.048,137.749,137.664,137.759,138.005,138.379,138.865,139.448,140.12,141.02,142.76,145.227,147.942,150.565,152.943,155.032,156.836,158.379,159.686,160.782,161.686,162.416,162.982,163.396,163.664,163.793,163.786,163.647,163.379,162.983,162.462,161.817,161.047,160.156,159.143,158.012,156.764,155.402,153.929,152.349,150.68,148.951,147.178,145.36,143.489,141.555,139.553,137.478,135.329,133.11,130.829,128.498,126.127,123.73,121.318,118.902,116.491,114.094,111.718,109.368,107.049,104.764,102.515,100.305,98.135,96.0058,93.9183,91.8729,89.87
Energy Demand Indicator,591.724,595.763,599.765,603.801,607.877,611.984,616.113,620.251,624.386,628.514,632.628,636.709,640.745,644.726,648.64,652.483,656.248,659.935,663.541,667.064,670.503,673.854,677.117,680.295,683.386,686.384,689.298,692.129,694.875,697.53,700.086,702.536,704.873,707.092,709.188,711.159,713.001,714.715,716.301,717.76,719.094,720.304,721.392,722.361,723.209,723.937,724.549,725.047,725.434,725.713,725.888,725.961,725.933,725.809,725.591,725.283,724.885,724.402,723.835,723.189,722.464,721.663,720.79,719.846,718.832,717.747,716.588,715.358,714.057,712.687,711.251,709.75,708.185,706.56,704.875,703.133,701.335,699.482,697.577,695.62,693.614
Forest Land Indicator,3960.92,3951.45,3941.89,3932.27,3922.68,3913.23,3904.01,3895.41,3887.83,3881.29,3875.97,3872.14,3869.73,3868.9,3869.85,3872.45,3876.6,3882.17,3889.04,3896.93,3905.57,3914.9,3924.62,3934.46,3944.38,3954.13,3963.46,3972.41,3980.97,3989.11,3996.85,4004.16,4010.99,4017.37,4023.34,4028.93,4034.19,4039.13,4043.79,4048.21,4052.4,4056.39,4060.2,4063.86,4067.38,4070.78,4074.08,4077.3,4080.44,4083.52,4086.55,4089.53,4092.49,4095.42,4098.32,4101.21,4104.09,4106.97,4109.85,4112.73,4115.62,4118.53,4121.45,4124.4,4127.37,4130.36,4133.38,4136.45,4139.57,4142.76,4146.01,4149.33,4152.72,4156.17,4159.68,4163.26,4166.9,4170.6,4174.36,4178.19,4182.07
Gas Production Indicator,169.935,173.149,176.268,179.443,182.815,186.481,190.473,194.761,199.265,203.879,208.486,212.98,217.276,221.32,225.089,228.589,231.847,234.9,237.79,240.553,243.214,245.787,248.291,250.892,253.785,256.24,258.184,259.795,261.079,260.373,259.669,258.945,258.183,257.367,256.484,255.525,254.48,253.343,252.11,250.777,249.34,247.799,246.151,244.396,242.534,240.563,238.486,236.305,234.02,231.636,229.156,226.583,223.941,221.268,218.583,215.884,213.156,210.383,207.554,204.66,201.7,198.673,195.588,192.456,189.291,186.106,182.913,179.724,176.55,173.4,170.282,167.2,164.16,161.164,158.215,155.314,152.462,149.659,146.907,144.205,141.553
GWP per Capita Indicator,11.9638,12.1377,12.3213,12.5128,12.7119,12.9185,13.1322,13.3532,13.5824,13.823,14.0721,14.3284,14.5912,14.8601,15.1345,15.4142,15.6986,15.9875,16.2806,16.5776,16.8784,17.183,17.4917,17.8061,18.1295,18.4653,18.8163,19.1845,19.5706,19.9737,20.3917,20.8218,21.2611,21.7067,22.1563,22.6078,23.0599,23.5116,23.9624,24.4119,24.8601,25.3072,25.7531,26.1985,26.6436,27.089,27.5351,27.9822,28.4307,28.8812,29.3338,29.7837,30.2369,30.6939,31.1548,31.62,32.0899,32.5646,33.0443,33.5292,34.0196,34.5156,35.0176,35.5257,36.0404,36.5618,37.0904,37.6261,38.1693,38.7202,39.2789,39.8456,40.4205,41.0039,41.5958,42.1964,42.8059,43.4244,44.0521,44.6892,45.3356
Livestock Production Indicator,330.829,331.862,333.062,334.359,335.437,336.672,338.028,336.728,335.625,334.343,329.805,325.624,321.729,315.443,309.594,304.123,298.974,294.102,289.08,283.783,278.429,273.018,269.839,266.476,262.904,262.585,262.217,261.807,261.815,261.78,261.702,262.496,263.243,263.944,264.6,265.21,265.775,266.296,266.774,267.209,267.603,267.955,268.269,268.325,268.345,268.368,268.39,268.408,268.422,268.429,268.428,268.411,268.382,268.339,268.284,268.214,268.13,268.032,267.919,267.791,267.649,267.491,267.319,267.049,266.635,266.166,265.67,265.149,264.604,264.035,263.443,262.828,262.192,261.535,260.857,260.159,259.442,258.707,257.953,257.181,256.392
Nonenergy Crops Production Indicator,4221.92,4258.86,4299.59,4337.85,4372.51,4407.1,4441.47,4452.35,4465.33,4481.25,4482.09,4485.88,4492.2,4484.4,4480.29,4479.73,4482.51,4488.47,4497.38,4515.5,4535.02,4553.97,4587.52,4606.22,4604.97,4635.04,4661.95,4686.5,4712.85,4737.02,4759.17,4787.36,4813.35,4837.33,4859.45,4879.82,4898.57,4915.84,4931.74,4946.41,4959.97,4972.52,4984.15,4988.61,4992.39,4996.69,5001.46,5006.64,5012.18,5018.05,5024.21,5030.33,5036.55,5042.91,5049.42,5056.07,5062.82,5069.66,5076.57,5083.54,5090.55,5097.6,5104.67,5109.32,5104.81,5095.84,5086.38,5076.43,5066.01,5055.13,5043.81,5032.06,5019.9,5007.33,4994.36,4981.01,4967.29,4953.21,4938.78,4924.02,4908.92
Oil Production Indicator,196.978,198.238,199.272,200.183,201.045,201.908,202.798,203.726,204.689,205.678,206.678,207.678,208.663,209.621,210.542,211.417,212.24,213.003,213.692,214.275,214.812,215.313,215.733,216.057,216.259,216.334,216.308,216.219,216.109,216.007,215.918,215.84,215.77,215.704,215.638,215.567,215.485,215.389,215.274,215.137,214.975,213.636,211.587,209.456,207.248,204.968,202.622,200.218,197.763,195.262,192.723,190.149,187.493,180.063,173.97,170.923,169.948,170.192,167.451,163.797,160.218,156.755,153.426,150.233,147.163,144.201,141.327,138.523,135.773,133.066,130.392,127.746,125.125,122.528,119.958,117.416,114.906,112.432,109.997,107.604,105.255
