Time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Biomass Energy Production Indicator,25.5856,26.022,26.3924,26.7373,27.0657,27.3703,27.6436,27.9437,28.3785,29.0167,29.8927,31.022,32.4098,34.0548,35.9519,38.093,40.4688,43.0685,45.881,48.8947,52.0978,55.4788,59.0257,62.7269,66.5706,70.5449,74.6381,78.8382,83.133,87.5103,91.9576,96.4621,101.011,105.591,110.189,114.792,119.385,123.955,128.488,132.97,137.387,141.725,145.971,150.111,154.13,158.016,161.752,165.322,168.712,171.905,174.889,177.649,180.175,182.456,184.486,186.258,187.769,189.015,189.999,190.72,191.183,191.393,191.356,191.079,189.968,188.047,185.97,183.747,181.392,178.916,176.331,173.649,170.88,168.035,165.125,162.16,159.15,156.103,153.028,149.933,146.826
CO2 Radiative Forcing,2.42957,2.47363,2.51761,2.56082,2.60186,2.64049,2.67665,2.71058,2.74267,2.77311,2.80162,2.82792,2.85184,2.87322,2.89177,2.90745,2.92036,2.93066,2.9385,2.94411,2.94772,2.94949,2.94962,2.94831,2.94568,2.94191,2.93717,2.93157,2.92522,2.91821,2.91062,2.90254,2.89403,2.88514,2.8759,2.86635,2.85651,2.84641,2.83607,2.82552,2.81489,2.80432,2.7938,2.78332,2.77288,2.76246,2.75207,2.7417,2.73134,2.72099,2.71064,2.7003,2.68995,2.67961,2.66926,2.6589,2.64853,2.63814,2.62774,2.61732,2.60688,2.59642,2.58593,2.57541,2.56486,2.55427,2.54364,2.53297,2.52226,2.51151,2.50071,2.48987,2.47898,2.46805,2.45707,2.44604,2.43497,2.42384,2.41266,2.40142,2.39013
Coal Production Indicator,144.715,146.897,148.659,144.925,140.332,135.327,130.797,128.899,128.768,129.14,129.417,129.4,129.054,128.41,127.51,126.396,125.107,123.671,122.115,120.457,118.714,116.899,115.02,113.087,111.105,109.079,107.012,104.909,102.77,100.6,98.3985,96.1683,93.9113,91.6295,89.3248,86.9996,84.6561,82.297,79.925,77.5432,75.1544,72.7618,70.3685,67.9778,65.5947,63.2269,60.882,58.5672,56.289,54.0536,51.8661,49.7312,47.6528,45.6339,43.6771,41.784,39.9559,38.1934,36.4965,34.8651,33.2984,31.7954,30.3549,28.9754,27.6554,26.3932,25.1872,24.0356,22.9365,21.8881,20.8884,19.9355,19.0274,18.1621,17.3379,16.5528,15.8051,15.093,14.4149,13.7691,13.1541
Energy Demand Indicator,591.715,584.039,577.899,572.491,567.587,563.111,559.047,555.373,552.072,549.134,546.541,544.273,542.291,540.56,539.038,537.691,536.489,535.406,534.424,533.525,532.697,531.924,531.193,530.494,529.814,529.143,528.471,527.786,527.079,526.341,525.562,524.733,523.846,522.895,521.874,520.775,519.594,518.326,516.966,515.512,513.959,512.305,510.548,508.686,506.717,504.641,502.456,500.164,497.764,495.258,492.645,489.927,487.106,484.183,481.159,478.037,474.819,471.507,468.105,464.614,461.038,457.379,453.642,449.828,445.942,441.986,437.963,433.878,429.734,425.534,421.281,416.98,412.632,408.243,403.814,399.35,394.853,390.327,385.775,381.2,376.605
Forest Land Indicator,3960.91,3952.33,3945.8,3941.38,3938.88,3938.08,3938.69,3940.73,3944.26,3949.04,3955.23,3962.91,3971.88,3982.14,3993.7,4006.39,4020,4034.38,4049.37,4064.68,4080.04,4095.36,4110.48,4125.2,4139.52,4153.27,4166.32,4178.7,4190.46,4201.6,4212.17,4222.19,4231.66,4240.63,4249.16,4257.29,4265.06,4272.52,4279.69,4286.63,4293.35,4299.9,4306.3,4312.58,4318.75,4324.84,4330.87,4336.84,4342.79,4348.73,4354.66,4360.61,4366.58,4372.58,4378.63,4384.74,4390.91,4397.15,4403.47,4409.89,4416.39,4423,4429.71,4436.54,4443.47,4450.53,4457.7,4464.99,4472.4,4479.94,4487.59,4495.36,4503.25,4511.26,4519.39,4527.64,4536.01,4544.49,4553.09,4561.81,4570.64
Gas Production Indicator,169.933,172.561,175.019,177.54,180.418,183.985,188.56,194.45,202.114,209.45,215.578,220.669,224.902,227.822,225.852,223.86,221.827,219.733,217.565,215.308,212.951,210.484,207.901,205.196,202.364,199.405,196.316,193.099,189.754,186.285,182.695,178.988,175.17,171.247,167.227,163.118,158.927,154.663,150.336,145.954,141.528,137.066,132.579,128.075,123.567,119.074,114.612,110.198,105.846,101.571,97.3837,93.2942,89.3112,85.4415,81.6905,78.0622,74.5592,71.1831,67.9344,64.8125,61.8164,58.9441,56.1935,53.5615,51.0453,48.6416,46.3471,44.1585,42.0721,40.0841,38.1908,36.3883,34.6728,33.0404,31.4875,30.0104,28.6057,27.2698,25.9996,24.7919,23.6435
GWP per Capita Indicator,11.9626,12.4703,12.9828,13.5022,14.0283,14.5618,15.1066,15.6591,16.2283,16.8179,17.4417,18.1022,18.7985,19.5306,20.2889,21.0728,21.8709,22.6805,23.5002,24.3271,25.1611,25.9971,26.8371,27.6812,28.5327,29.3875,30.2442,31.1078,31.9777,32.8577,33.7426,34.6329,35.5352,36.449,37.374,38.3076,39.2519,40.2108,41.188,42.1776,43.1796,44.1977,45.233,46.2829,47.3483,48.4298,49.5281,50.6441,51.7785,52.9322,54.1058,55.2904,56.497,57.7265,58.9799,60.2581,61.5621,62.8929,64.2515,65.639,67.0564,68.5048,69.9853,71.4991,73.0472,74.6309,76.2513,77.9097,79.6073,81.3453,83.125,84.9477,86.8148,88.7276,90.6876,92.696,94.7544,96.8641,99.0266,101.243,103.516
Livestock Production Indicator,330.824,330.654,330.438,328.449,324.809,321.639,318.961,312.667,306.945,301.096,292.263,283.805,275.652,265.201,254.98,245.011,235.152,225.399,215.747,208.612,201.477,194.268,189.467,184.616,179.729,178.211,176.634,175.018,173.831,172.594,171.277,170.874,170.502,169.996,169.42,168.764,168.044,167.276,166.451,165.532,164.503,163.387,162.253,161.084,159.881,158.645,157.379,156.061,154.699,153.298,151.859,150.382,148.856,147.296,145.689,144.016,142.286,140.522,138.719,136.887,135.039,133.151,131.206,129.218,127.194,125.141,123.09,121.076,119.125,117.227,115.371,113.534,111.702,109.886,108.072,106.248,104.408,102.528,100.594,98.6501,96.75
Nonenergy Crops Production Indicator,4221.89,4188.58,4169.07,4152.37,4137.25,4127.39,4123.6,4105.07,4095.22,4085.07,4060.75,4043.29,4031.92,4015.41,4004.55,4001.26,4003,4010.01,4022.04,4047.15,4075.17,4103.13,4139.57,4175.79,4210.43,4252.02,4290.92,4325.54,4357.51,4386.58,4411.61,4435.04,4456.31,4474.29,4489.19,4500.81,4509.63,4516.31,4521.18,4523.37,4523.08,4519.74,4513.41,4505.23,4495.23,4483.78,4471.53,4457.53,4441.86,4424.89,4406.96,4387.49,4366.51,4344.49,4321.39,4296.92,4271.12,4244.5,4216.72,4187.74,4157.66,4126.83,4094.94,4062.04,4028.33,3993.86,3958.52,3922.34,3885.44,3847.8,3809.43,3770.36,3730.48,3689.94,3648.86,3607.53,3565.86,3523.84,3481.54,3438.94,3396.23
Oil Production Indicator,196.976,196.926,195.62,188.884,177.397,165.304,153.899,145.628,139.656,134.873,130.778,127.144,123.841,120.785,117.918,115.199,112.599,110.097,107.677,105.33,103.046,100.821,98.647,96.5217,94.4411,92.4018,90.401,88.436,86.5042,84.6031,82.7303,80.8833,79.0602,77.2586,75.4767,73.7124,71.9638,70.2293,68.5071,66.7958,65.0939,63.3999,61.7127,60.031,58.3552,56.688,55.0322,53.3909,51.7669,50.1631,48.5822,47.0267,45.4987,44.0003,42.5332,41.0987,39.6979,38.3319,37.0012,35.7062,34.4471,33.2241,32.037,30.8856,29.7695,28.6884,27.6421,26.63,25.6516,24.7064,23.7936,22.9124,22.0621,21.2419,20.451,19.6884,18.9534,18.2451,17.5626,16.9053,16.2721
Pasture Land Indicator,3289,3294.59,3298.78,3301.49,3302.69,3302.47,3301.02,3298.35,3294.39,3289.32,3282.99,3275.33,3266.43,3256.25,3244.75,3232.03,3218.2,3203.39,3187.75,3171.54,3155.03,3138.35,3121.73,3105.39,3089.44,3074.07,3059.44,3045.56,3032.47,3020.17,3008.64,2997.87,2987.85,2978.53,2969.87,2961.79,2954.26,2947.22,2940.62,2934.41,2928.56,2923.01,2917.74,2912.7,2907.87,2903.22,2898.71,2894.28,2889.87,2885.47,2881.07,2876.66,2872.23,2867.78,2863.3,2858.79,2854.23,2849.61,2844.94,2840.22,2835.42,2830.56,2825.62,2820.61,2815.52,2810.35,2805.1,2799.77,2794.35,2788.85,2783.27,2777.6,2771.86,2766.03,2760.12,2754.12,2748.05,2741.89,2735.66,2729.34,2722.95
Solar Energy Production Indicator,3.66252,4.01584,4.37023,4.72098,5.06176,5.38603,5.68872,5.97528,6.26053,6.55629,6.871,7.21119,7.58232,7.98906,8.4355,8.92524,9.46148,10.047,10.6844,11.3757,12.123,12.928,13.7921,14.7166,15.7028,16.7516,17.8638,19.0403,20.2816,21.5884,22.9611,24.4002,25.9059,27.4787,29.1188,30.8265,32.602,34.4456,36.3575,38.3379,40.387,42.5053,44.6929,46.652,48.436,50.3514,52.3863,54.5295,56.7695,59.0952,61.4955,63.9593,66.4757,69.0339,71.6232,74.2331,76.8535,79.4744,82.0862,84.6794,87.2453,89.7752,92.261,94.695,97.0698,99.3786,101.615,103.773,105.849,107.836,109.731,111.53,113.23,114.828,116.322,117.709,118.988,120.157,121.215,122.163,122.999
Total CO2 Emissions Indicator,53100.6,53655.5,54034.8,53368.1,52141.5,50742.8,49299.1,48052.9,47000.1,45825.1,44339.5,42636.7,40750.3,38629.2,36246.9,33861.4,31503.3,29201.3,26977.6,24915.8,22951.8,21087,19391,17787.9,16272.1,14931.9,13672.5,12502.8,11427.7,10425.8,9489.08,8637.59,7839.44,7087.1,6376.96,5704.82,5067.66,4462.96,3888.06,3356.04,3019.67,2698.69,2391.91,2096.79,1812.77,1540.64,1279.72,1029.39,789.067,558.218,336.346,122.99,-82.2799,-279.867,-470.15,-653.483,-830.202,-1000.63,-1165.06,-1323.79,-1477.09,-1625.22,-1768.46,-1907.03,-2044.23,-2179.77,-2310.54,-2436.83,-2558.89,-2677,-2791.38,-2902.28,-3009.94,-3114.56,-3216.39,-3315.6,-3412.41,-3507.01,-3599.55,-3690.22,-3779.17
Total Croplands Indicator,1608.7,1611.43,1613.48,1614.81,1615.4,1615.29,1614.58,1613.27,1611.34,1608.85,1605.76,1602.01,1597.66,1592.68,1587.05,1580.83,1574.07,1566.82,1559.18,1551.25,1543.17,1535.01,1526.88,1518.89,1511.09,1503.57,1496.42,1489.63,1483.23,1477.21,1471.57,1466.3,1461.4,1456.84,1452.6,1448.66,1444.97,1441.53,1438.3,1435.26,1432.4,1429.69,1427.11,1424.64,1422.28,1420.01,1417.8,1415.64,1413.48,1411.32,1409.17,1407.02,1404.85,1402.67,1400.48,1398.27,1396.04,1393.79,1391.5,1389.19,1386.85,1384.47,1382.05,1379.6,1377.11,1374.58,1372.02,1369.41,1366.76,1364.07,1361.34,1358.57,1355.76,1352.91,1350.01,1347.08,1344.11,1341.1,1338.05,1334.96,1331.83
