Time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Biomass Energy Production Indicator,25.5859,26.0654,26.5458,27.0428,27.5556,28.0718,28.574,29.0461,29.4758,29.8562,30.1846,30.4622,30.6925,30.8807,31.0328,31.1555,31.2553,31.3381,31.4096,31.475,31.5387,31.6049,31.6773,31.7593,31.8538,31.9635,32.0906,32.237,32.4045,32.5941,32.8069,33.0436,33.3046,33.5902,33.9004,34.2351,34.5943,34.9778,35.3854,35.8172,36.2733,36.7543,37.261,37.7949,38.3578,38.9521,39.582,40.2536,40.9745,41.7526,42.5955,43.5104,44.5041,45.583,46.7532,48.0207,49.3917,50.8728,52.471,54.1939,56.0503,58.0497,60.2037,62.5258,65.032,67.7398,70.6695,73.8418,77.2766,80.9927,85.0076,89.3376,93.9981,99.003,104.365,110.095,116.202,122.693,129.573,136.843,144.503
CO2 Radiative Forcing,2.42908,2.47321,2.51759,2.56222,2.60687,2.6515,2.69612,2.74079,2.78554,2.83042,2.87548,2.92071,2.96609,3.01166,3.05743,3.10345,3.14974,3.19633,3.24322,3.29041,3.33788,3.38562,3.43363,3.48188,3.53037,3.57909,3.62803,3.6772,3.72659,3.77619,3.82599,3.87599,3.92616,3.97649,4.02689,4.07737,4.12791,4.17852,4.22917,4.27985,4.33056,4.38126,4.43194,4.4826,4.53321,4.58377,4.6342,4.68414,4.73363,4.78277,4.83164,4.8803,4.92881,4.97722,5.02555,5.07383,5.12207,5.17028,5.21847,5.26652,5.31435,5.36197,5.40938,5.45656,5.50352,5.55025,5.59675,5.64302,5.68904,5.73483,5.78038,5.82571,5.87081,5.9157,5.96038,6.00487,6.04916,6.09327,6.13721,6.18101,6.22466
Coal Production Indicator,144.716,146.945,149.26,151.639,153.93,156.028,158.042,160.08,162.244,164.612,167.237,170.15,173.362,176.876,180.687,184.785,189.157,193.791,198.674,203.79,209.13,214.681,220.436,226.385,232.524,238.845,245.343,252.011,258.841,265.825,272.953,280.214,287.596,294.333,301.048,307.784,314.525,321.252,327.945,334.577,341.121,347.548,353.828,359.927,365.813,371.424,373.873,374.505,375.774,377.578,379.811,382.364,385.128,388.002,390.896,393.734,396.452,399.001,401.14,400.982,400.566,399.872,398.858,397.483,395.712,393.516,390.871,387.767,384.201,380.173,375.688,370.753,365.377,359.575,353.364,346.766,339.806,332.518,324.937,317.102,309.055
Energy Demand Indicator,591.724,596.755,600.928,605.01,609.232,613.659,618.3,623.144,628.174,633.385,638.752,644.242,649.831,655.495,661.217,666.981,672.772,678.579,684.391,690.196,695.989,701.76,707.503,713.212,718.883,724.511,730.092,735.624,741.104,746.529,751.898,757.208,762.459,767.65,772.779,777.846,782.852,787.794,792.675,797.492,802.246,806.936,811.562,816.125,820.625,825.061,829.435,833.746,837.996,842.185,846.312,850.377,854.377,858.316,862.193,866.01,869.765,873.46,877.093,880.664,884.174,887.621,891.007,894.33,897.59,900.786,903.918,906.986,909.988,912.924,915.793,918.595,921.328,923.993,926.586,929.109,931.559,933.937,936.24,938.469,940.621
Forest Land Indicator,3960.92,3950.95,3939.22,3925.43,3909.64,3892.09,3873.07,3852.89,3831.88,3810.37,3788.72,3767.15,3745.8,3724.81,3704.29,3684.29,3664.83,3645.95,3627.65,3609.94,3592.81,3576.25,3560.26,3544.81,3529.89,3515.49,3501.59,3488.18,3475.24,3462.74,3450.68,3439.03,3427.77,3416.89,3406.37,3396.2,3386.36,3376.83,3367.61,3358.8,3350.41,3342.42,3334.8,3327.54,3320.64,3314.08,3307.84,3301.91,3296.28,3290.93,3285.84,3281.01,3276.43,3272.07,3267.94,3264.03,3260.31,3256.81,3253.51,3250.41,3247.51,3244.81,3242.29,3239.96,3237.81,3235.83,3234.03,3232.42,3231.01,3229.8,3228.8,3228,3227.39,3226.96,3226.72,3226.68,3226.85,3227.23,3227.83,3228.64,3229.67
Gas Production Indicator,169.935,174.837,179.553,182.186,181.821,180.807,179.377,177.743,176.066,174.459,172.841,170.572,168.262,166.162,164.449,163.194,162.36,161.844,161.513,161.253,160.996,160.725,160.467,160.268,160.175,160.221,160.414,160.744,161.188,161.719,162.32,162.977,163.688,164.455,165.278,166.159,167.091,168.069,169.082,170.122,170.948,171.673,172.458,173.302,174.195,175.127,176.094,177.094,178.142,179.261,180.485,181.844,183.363,185.05,186.902,188.902,191.03,193.267,195.598,198.014,200.511,203.088,205.744,208.475,211.277,214.146,217.079,220.073,223.126,226.233,229.389,232.585,235.806,238.978,242.075,245.091,248.015,250.834,253.533,256.095,258.504
GWP per Capita Indicator,11.9638,11.86,11.786,11.7368,11.7094,11.7017,11.7118,11.738,11.7802,11.8406,11.9146,12.0006,12.0973,12.2037,12.3186,12.4411,12.5704,12.7056,12.8463,12.9917,13.1415,13.2951,13.4522,13.6125,13.7757,13.9415,14.1097,14.2801,14.4526,14.627,14.8031,14.981,15.1605,15.3415,15.524,15.708,15.8935,16.0805,16.2688,16.4584,16.6494,16.8415,17.0349,17.2294,17.4251,17.6221,17.8203,18.0198,18.2207,18.4231,18.6269,18.8287,19.0324,19.238,19.4454,19.6547,19.866,20.0792,20.2944,20.5116,20.7308,20.9522,21.1759,21.402,21.6304,21.8611,22.0943,22.3299,22.5679,22.8084,23.0515,23.2971,23.5453,23.7961,24.0496,24.3057,24.5645,24.826,25.0902,25.3571,25.6267
Livestock Production Indicator,330.829,334.225,337.442,340.963,344.869,349.137,353.714,358.542,363.596,368.916,374.364,379.899,385.479,390.861,396.193,401.461,406.657,411.777,416.816,421.774,426.653,431.458,436.193,440.846,445.412,449.888,454.278,458.588,462.826,467.001,471.115,475.163,479.142,483.058,486.914,490.71,494.444,498.122,501.595,504.786,507.892,510.91,513.833,516.662,519.384,522.016,524.581,527.089,529.539,531.925,534.239,536.465,538.6,540.647,542.619,544.528,546.355,548.09,549.744,551.326,552.845,554.306,555.716,557.082,558.399,559.527,560.527,561.399,562.157,562.812,563.396,563.948,564.479,564.934,565.262,565.463,565.505,565.388,565.091,564.713,564.236
Nonenergy Crops Production Indicator,4221.92,4345.94,4434.6,4527.38,4619.81,4714.61,4810.34,4905.99,4980.27,5047.51,5108.97,5162.1,5215.17,5268.38,5321.29,5373.68,5425.38,5476.23,5526.14,5575.03,5622.86,5669.59,5714.81,5758.89,5801.91,5843.9,5884.87,5924.85,5963.88,6002,6039.25,6075.67,6111.31,6146.19,6180.35,6213.84,6246.6,6278.66,6310.05,6340.48,6369.98,6398.62,6426.46,6453.52,6479.83,6505.43,6530.34,6554.61,6578.28,6601.38,6623.94,6645.4,6665.86,6685.55,6704.58,6723.03,6740.95,6758.33,6775.19,6791.54,6807.38,6822.74,6837.63,6852.07,6866.07,6879.63,6892.69,6905.24,6917.25,6928.71,6939.62,6949.98,6959.84,6969.2,6978.03,6986.33,6994.05,7001.16,7007.69,7013.65,7019.04
Oil Production Indicator,196.978,198.328,199.677,201.226,203.156,205.57,208.48,211.822,215.489,219.352,223.291,227.201,230.999,234.623,238.033,241.2,244.109,246.745,249.1,251.165,252.935,254.403,255.566,256.422,256.971,257.215,257.159,256.809,256.172,255.26,254.084,252.658,250.999,249.122,247.046,244.79,242.371,239.811,237.129,234.344,231.476,228.547,225.577,222.586,219.594,216.62,213.689,210.833,208.083,205.46,202.976,200.634,198.427,196.342,194.363,192.47,190.644,188.866,187.119,185.389,183.664,181.934,180.195,178.446,176.691,174.931,173.171,171.414,169.663,167.921,166.19,164.472,162.769,161.082,159.41,157.754,156.113,154.486,152.87,151.264,149.666
